Brand,Model,Fuel_Type,Horsepower,CO2_g_km,MSRP_USD,Country,Month,Sales_Volume
BMW,Model E,Electric,474,95,110301,Spain,2020-01-31,1512
Mercedes,Model D,Petrol,397,130,81577,Japan,2020-01-31,1528
Hyundai,Model A,Hybrid,77,220,15029,China,2020-01-31,1999
Hyundai,Model E,Hybrid,402,205,111765,Spain,2020-01-31,207
BMW,Model D,Hybrid,85,140,40284,France,2020-01-31,812
Hyundai,Model A,Diesel,173,218,50816,UK,2020-01-31,1193
Ford,Model E,Diesel,85,205,115707,China,2020-01-31,1877
Audi,Model C,Diesel,84,68,114433,Canada,2020-01-31,1220
Honda,Model C,Hybrid,93,76,91965,Japan,2020-01-31,1670
Volkswagen,Model B,Petrol,120,94,40102,Spain,2020-01-31,186
Nissan,Model C,Electric,224,207,44517,Italy,2020-01-31,276
Mercedes,Model E,Petrol,117,81,99627,Brazil,2020-01-31,1824
Audi,Model C,Electric,187,93,27996,USA,2020-01-31,1308
BMW,Model D,Electric,324,117,23803,Japan,2020-01-31,1573
Volkswagen,Model E,Diesel,92,170,40131,Canada,2020-01-31,960
Hyundai,Model B,Petrol,209,61,106741,Japan,2020-01-31,504
Nissan,Model E,Petrol,199,99,30646,Germany,2020-01-31,688
Hyundai,Model E,Hybrid,189,145,46577,France,2020-01-31,375
Toyota,Model E,Diesel,483,114,98958,Italy,2020-01-31,118
Toyota,Model C,Diesel,356,62,71781,Italy,2020-01-31,242
Nissan,Model E,Hybrid,71,202,99388,Spain,2020-01-31,1392
Nissan,Model B,Diesel,125,155,71091,Spain,2020-01-31,402
BMW,Model B,Diesel,136,122,52169,USA,2020-01-31,999
Nissan,Model C,Hybrid,388,221,79072,France,2020-01-31,632
Ford,Model B,Electric,308,233,68386,Italy,2020-01-31,1958
Hyundai,Model C,Hybrid,410,54,82851,Spain,2020-01-31,407
Audi,Model A,Diesel,391,206,40881,Japan,2020-01-31,814
Kia,Model D,Diesel,150,164,17530,Spain,2020-01-31,1814
Nissan,Model E,Electric,457,241,102938,USA,2020-01-31,634
Mercedes,Model B,Petrol,423,232,95298,UK,2020-01-31,897
Toyota,Model B,Hybrid,453,196,19735,France,2020-01-31,1151
Ford,Model A,Petrol,195,152,40732,France,2020-01-31,1824
Volkswagen,Model E,Electric,480,66,70760,USA,2020-01-31,1465
Kia,Model C,Petrol,106,234,41367,Spain,2020-01-31,890
Audi,Model A,Hybrid,192,176,69374,USA,2020-01-31,397
Kia,Model E,Electric,276,71,116289,Italy,2020-01-31,931
Nissan,Model E,Electric,469,238,95018,Canada,2020-01-31,794
BMW,Model C,Diesel,346,160,104354,France,2020-01-31,1999
Toyota,Model A,Hybrid,120,126,65293,Canada,2020-01-31,1187
Toyota,Model A,Petrol,273,206,104511,UK,2020-01-31,1782
Volkswagen,Model D,Electric,198,82,51519,Japan,2020-01-31,1015
BMW,Model C,Diesel,215,187,113417,Canada,2020-01-31,1361
Hyundai,Model D,Petrol,467,199,107828,UK,2020-01-31,1439
Honda,Model E,Petrol,454,180,32505,Japan,2020-01-31,356
Ford,Model D,Petrol,110,137,40464,France,2020-01-31,368
Toyota,Model C,Hybrid,82,169,49063,Japan,2020-01-31,765
Mercedes,Model E,Hybrid,232,202,115872,France,2020-01-31,1930
Toyota,Model A,Diesel,411,245,69315,Italy,2020-01-31,123
Kia,Model D,Petrol,224,188,50379,USA,2020-01-31,940
Toyota,Model A,Diesel,291,232,78745,Brazil,2020-01-31,379
Toyota,Model A,Electric,274,121,83483,Italy,2020-01-31,908
Honda,Model C,Petrol,74,247,108958,Japan,2020-01-31,1954
Honda,Model D,Electric,131,86,70538,France,2020-01-31,1854
Audi,Model B,Petrol,380,191,51978,Italy,2020-01-31,484
Hyundai,Model A,Electric,466,107,65036,China,2020-01-31,602
Mercedes,Model C,Petrol,279,193,68422,Italy,2020-01-31,1783
Toyota,Model B,Hybrid,338,129,58629,China,2020-01-31,916
Toyota,Model E,Electric,122,174,79597,Canada,2020-01-31,1325
Ford,Model B,Diesel,224,131,33870,Germany,2020-01-31,799
Honda,Model C,Diesel,226,53,56810,USA,2020-01-31,11
Mercedes,Model E,Electric,320,157,50520,Italy,2020-01-31,1148
Volkswagen,Model A,Diesel,229,97,109719,Germany,2020-01-31,1747
Audi,Model E,Petrol,214,128,89062,Japan,2020-01-31,1053
Hyundai,Model D,Electric,417,168,112445,Italy,2020-01-31,495
BMW,Model A,Diesel,266,185,64332,Germany,2020-01-31,323
Hyundai,Model A,Diesel,168,67,112530,Germany,2020-01-31,1724
Kia,Model E,Petrol,177,63,35083,Brazil,2020-01-31,7
Toyota,Model B,Electric,384,90,53183,Spain,2020-01-31,1759
Audi,Model D,Diesel,327,233,69867,Canada,2020-01-31,1474
Kia,Model D,Diesel,469,238,58301,UK,2020-01-31,628
Mercedes,Model C,Petrol,230,112,93438,USA,2020-01-31,962
BMW,Model A,Petrol,433,93,66975,UK,2020-01-31,290
Honda,Model C,Electric,387,180,54452,Italy,2020-01-31,168
Audi,Model C,Hybrid,228,81,67440,Canada,2020-01-31,1703
Audi,Model C,Diesel,104,202,51162,Canada,2020-01-31,1544
Toyota,Model D,Diesel,353,99,107508,France,2020-01-31,542
Nissan,Model C,Diesel,182,130,108845,USA,2020-01-31,1360
Audi,Model E,Electric,258,82,48364,USA,2020-01-31,1974
Ford,Model D,Diesel,306,56,16417,Canada,2020-01-31,1113
BMW,Model E,Petrol,406,221,91216,Brazil,2020-01-31,1322
BMW,Model D,Petrol,199,82,41099,Italy,2020-01-31,950
Ford,Model A,Electric,191,121,101283,Canada,2020-01-31,806
Volkswagen,Model C,Hybrid,383,51,108189,Canada,2020-01-31,1866
Ford,Model C,Petrol,346,155,76933,France,2020-01-31,235
Ford,Model A,Electric,368,99,102148,Brazil,2020-01-31,1195
BMW,Model A,Diesel,259,223,20988,China,2020-01-31,4
Hyundai,Model B,Petrol,187,239,118594,France,2020-01-31,931
BMW,Model C,Electric,339,156,95720,USA,2020-01-31,223
Nissan,Model B,Electric,498,206,117529,Italy,2020-01-31,1570
Toyota,Model D,Diesel,283,131,51632,Canada,2020-01-31,908
Kia,Model E,Electric,459,57,61269,UK,2020-01-31,14
Hyundai,Model D,Petrol,468,118,74654,Germany,2020-01-31,1054
Honda,Model A,Electric,226,112,51430,France,2020-01-31,989
Kia,Model B,Hybrid,220,123,105523,Japan,2020-01-31,1970
Toyota,Model E,Electric,348,181,91758,France,2020-01-31,1273
Nissan,Model C,Petrol,193,125,70349,France,2020-01-31,1866
Nissan,Model B,Hybrid,79,74,117732,Japan,2020-01-31,582
Honda,Model A,Hybrid,372,85,44635,France,2020-01-31,1543
Hyundai,Model A,Diesel,427,217,28374,Japan,2020-01-31,1428
Volkswagen,Model B,Hybrid,120,167,52470,Italy,2020-01-31,1626
Ford,Model B,Petrol,88,231,21869,Spain,2020-01-31,732
Hyundai,Model A,Electric,310,204,49128,Canada,2020-01-31,190
Volkswagen,Model E,Diesel,324,62,76950,China,2020-01-31,1035
Nissan,Model D,Hybrid,295,227,55406,France,2020-01-31,466
BMW,Model A,Diesel,282,209,99783,Canada,2020-01-31,909
Toyota,Model D,Electric,317,171,67051,UK,2020-01-31,473
Honda,Model D,Electric,201,247,63496,Brazil,2020-01-31,623
Toyota,Model E,Electric,429,116,95319,Spain,2020-01-31,460
Mercedes,Model B,Electric,478,104,76647,France,2020-01-31,1373
Mercedes,Model B,Diesel,200,141,84110,Japan,2020-01-31,153
Hyundai,Model B,Electric,152,67,109519,Italy,2020-01-31,1973
Nissan,Model A,Petrol,173,80,107536,UK,2020-01-31,237
Nissan,Model C,Electric,80,177,47373,USA,2020-01-31,1553
Ford,Model C,Electric,167,173,58923,USA,2020-01-31,770
Ford,Model C,Electric,105,248,48766,France,2020-01-31,768
Ford,Model E,Hybrid,238,228,94743,Italy,2020-01-31,1051
BMW,Model E,Electric,494,156,74544,Spain,2020-01-31,1255
Kia,Model C,Petrol,283,237,106229,Brazil,2020-01-31,829
Audi,Model B,Hybrid,78,164,59882,China,2020-01-31,515
Kia,Model B,Petrol,219,68,119324,Canada,2020-01-31,1615
Toyota,Model C,Diesel,146,154,25669,Germany,2020-01-31,87
Kia,Model B,Diesel,218,231,51013,China,2020-01-31,1422
BMW,Model C,Petrol,308,124,25592,USA,2020-01-31,207
Toyota,Model A,Electric,278,93,77589,UK,2020-01-31,1420
Kia,Model D,Diesel,126,210,26994,Brazil,2020-01-31,446
BMW,Model D,Electric,450,185,18635,Germany,2020-01-31,1830
Audi,Model D,Diesel,349,193,110408,Canada,2020-01-31,727
Kia,Model C,Electric,469,98,44918,USA,2020-01-31,762
BMW,Model A,Electric,213,134,115769,Japan,2020-01-31,771
Ford,Model E,Petrol,365,138,20671,Brazil,2020-01-31,878
Nissan,Model D,Electric,408,201,97772,Italy,2020-01-31,1975
Ford,Model B,Hybrid,338,55,47657,China,2020-01-31,1763
Nissan,Model C,Petrol,380,202,71032,Canada,2020-01-31,1442
Honda,Model C,Petrol,372,163,28531,UK,2020-01-31,675
Honda,Model E,Electric,260,221,94886,France,2020-01-31,1760
Honda,Model B,Petrol,328,136,114656,Canada,2020-01-31,1255
Audi,Model A,Hybrid,427,230,18169,Japan,2020-01-31,1220
Ford,Model D,Diesel,328,165,22049,USA,2020-01-31,891
Nissan,Model A,Diesel,73,242,20752,UK,2020-01-31,735
BMW,Model B,Hybrid,283,218,54357,Italy,2020-01-31,1968
Toyota,Model B,Petrol,264,158,41705,Spain,2020-01-31,150
BMW,Model C,Hybrid,105,238,20991,USA,2020-01-31,1150
Toyota,Model A,Hybrid,127,72,119341,Brazil,2020-01-31,1856
Mercedes,Model E,Electric,142,233,45327,Germany,2020-01-31,1235
BMW,Model B,Diesel,86,92,114821,Brazil,2020-01-31,935
Kia,Model C,Petrol,340,52,90965,France,2020-01-31,1254
Kia,Model D,Electric,231,182,118756,Germany,2020-01-31,1834
Hyundai,Model E,Hybrid,313,184,88621,UK,2020-01-31,979
Ford,Model E,Hybrid,331,188,108867,USA,2020-01-31,476
Toyota,Model C,Hybrid,240,79,87913,Germany,2020-01-31,1923
Toyota,Model E,Petrol,471,114,115163,France,2020-01-31,15
Ford,Model E,Petrol,468,155,92879,Spain,2020-01-31,217
Audi,Model C,Diesel,275,143,53941,Japan,2020-01-31,1194
Hyundai,Model C,Hybrid,76,76,47882,USA,2020-01-31,20
Audi,Model B,Diesel,423,217,66998,Spain,2020-01-31,1861
Audi,Model C,Hybrid,332,121,89296,Canada,2020-01-31,661
Audi,Model D,Hybrid,166,128,26682,China,2020-01-31,1714
Ford,Model A,Diesel,490,50,46053,Spain,2020-01-31,148
Audi,Model C,Electric,363,118,108546,Germany,2020-01-31,1106
Kia,Model B,Petrol,413,234,96088,UK,2020-01-31,66
Honda,Model D,Electric,393,133,36251,Brazil,2020-01-31,1007
Mercedes,Model A,Electric,474,133,68036,France,2020-01-31,1965
Toyota,Model C,Electric,123,81,100847,USA,2020-01-31,34
Toyota,Model B,Electric,452,156,60492,France,2020-01-31,449
Mercedes,Model A,Petrol,325,90,91113,Brazil,2020-01-31,558
Ford,Model A,Petrol,224,103,76496,Spain,2020-01-31,263
BMW,Model B,Electric,328,112,82266,Canada,2020-01-31,852
Ford,Model A,Diesel,142,96,35148,Canada,2020-01-31,131
Toyota,Model E,Hybrid,485,59,46031,Brazil,2020-01-31,1159
Toyota,Model D,Electric,229,92,37378,Brazil,2020-01-31,1009
Mercedes,Model E,Electric,488,137,56848,UK,2020-01-31,1931
Audi,Model A,Diesel,491,130,22646,USA,2020-01-31,1904
Ford,Model C,Diesel,488,182,53301,France,2020-01-31,824
Nissan,Model B,Petrol,374,127,81226,USA,2020-01-31,1126
Mercedes,Model B,Diesel,81,207,109361,Spain,2020-01-31,1936
Kia,Model D,Diesel,466,129,88060,UK,2020-01-31,1410
Toyota,Model B,Hybrid,369,174,110097,Brazil,2020-01-31,93
Mercedes,Model B,Petrol,187,217,87355,Italy,2020-01-31,1974
Ford,Model D,Electric,486,74,70630,Germany,2020-01-31,1455
Toyota,Model E,Diesel,297,195,90946,Japan,2020-01-31,435
BMW,Model E,Electric,341,189,59312,Brazil,2020-01-31,701
Mercedes,Model A,Hybrid,103,109,70037,Italy,2020-01-31,1942
Hyundai,Model B,Hybrid,401,144,18580,Canada,2020-01-31,1556
Toyota,Model A,Petrol,262,112,20770,Brazil,2020-01-31,122
Ford,Model A,Diesel,190,232,38875,Brazil,2020-01-31,1693
Honda,Model A,Electric,319,245,89497,France,2020-01-31,1640
Nissan,Model D,Petrol,373,52,34331,Germany,2020-01-31,704
Volkswagen,Model C,Diesel,118,147,73331,Brazil,2020-01-31,1526
Audi,Model E,Petrol,384,146,97895,Canada,2020-01-31,74
Volkswagen,Model D,Diesel,103,145,36928,Brazil,2020-01-31,1767
Ford,Model C,Petrol,88,186,32850,Brazil,2020-01-31,1066
Kia,Model A,Hybrid,469,108,82645,Spain,2020-01-31,1353
Kia,Model D,Petrol,314,96,100801,Brazil,2020-01-31,952
Honda,Model C,Electric,452,234,50526,Brazil,2020-01-31,608
Audi,Model E,Petrol,473,144,119163,Italy,2020-01-31,1922
Hyundai,Model C,Hybrid,253,59,119937,Brazil,2020-01-31,1781
Honda,Model D,Petrol,358,140,107430,China,2020-01-31,260
Volkswagen,Model E,Hybrid,446,117,106516,USA,2020-01-31,640
Honda,Model E,Petrol,475,192,77419,China,2020-01-31,1287
Volkswagen,Model B,Diesel,176,90,48640,Spain,2020-01-31,1185
Toyota,Model C,Electric,230,223,41584,Canada,2020-01-31,1749
Kia,Model C,Diesel,446,226,57485,UK,2020-01-31,1914
Toyota,Model C,Diesel,378,206,92493,Germany,2020-01-31,790
Nissan,Model A,Diesel,70,169,96947,Spain,2020-01-31,169
Audi,Model E,Petrol,373,226,86858,Germany,2020-01-31,1248
Hyundai,Model C,Diesel,324,131,76323,Canada,2020-01-31,214
Volkswagen,Model D,Electric,403,85,39243,UK,2020-01-31,1496
Hyundai,Model D,Hybrid,295,59,55675,China,2020-01-31,1984
Volkswagen,Model B,Hybrid,267,150,82507,Germany,2020-01-31,1162
Ford,Model E,Petrol,352,58,49357,Italy,2020-01-31,858
Honda,Model A,Electric,166,148,110165,Italy,2020-01-31,362
Nissan,Model B,Diesel,152,86,18724,Canada,2020-01-31,1553
Kia,Model C,Hybrid,109,221,83852,Canada,2020-01-31,746
Volkswagen,Model E,Petrol,440,116,87211,China,2020-01-31,1340
Hyundai,Model A,Electric,345,194,117467,Canada,2020-01-31,1739
Nissan,Model E,Electric,429,146,115768,Germany,2020-01-31,1732
BMW,Model C,Electric,164,179,80502,USA,2020-01-31,1962
BMW,Model B,Hybrid,197,191,48547,UK,2020-01-31,1404
Toyota,Model C,Petrol,270,116,107031,Spain,2020-01-31,1454
Kia,Model D,Diesel,473,188,56823,Canada,2020-01-31,689
Ford,Model B,Diesel,142,191,24417,UK,2020-01-31,656
Hyundai,Model D,Electric,246,157,104134,Japan,2020-01-31,1025
Honda,Model C,Diesel,358,159,60182,France,2020-01-31,739
Honda,Model B,Diesel,473,71,59488,UK,2020-01-31,1054
Hyundai,Model C,Diesel,309,182,103109,Canada,2020-01-31,1303
Audi,Model E,Electric,204,169,112551,Germany,2020-01-31,1076
Ford,Model E,Diesel,433,83,37973,Italy,2020-01-31,101
Nissan,Model A,Hybrid,197,190,23502,Japan,2020-01-31,421
Volkswagen,Model C,Diesel,414,99,86734,Brazil,2020-01-31,1919
Audi,Model D,Hybrid,167,237,45972,Brazil,2020-01-31,1607
Volkswagen,Model A,Hybrid,454,236,45954,Germany,2020-01-31,323
Volkswagen,Model B,Diesel,133,228,119451,Germany,2020-01-31,1842
Audi,Model D,Hybrid,251,127,53378,Brazil,2020-01-31,429
Toyota,Model E,Petrol,412,127,70555,Italy,2020-01-31,998
BMW,Model D,Hybrid,76,56,45860,Canada,2020-01-31,1298
Volkswagen,Model D,Hybrid,439,195,41391,Italy,2020-01-31,1352
Audi,Model A,Diesel,206,56,41601,Germany,2020-01-31,563
Audi,Model C,Hybrid,220,66,23936,France,2020-01-31,803
Mercedes,Model E,Hybrid,408,240,76745,Canada,2020-01-31,108
Toyota,Model B,Electric,294,196,62805,Spain,2020-01-31,1373
Kia,Model B,Electric,456,194,93950,Brazil,2020-01-31,141
Mercedes,Model E,Petrol,172,92,50543,Germany,2020-01-31,64
Mercedes,Model B,Electric,499,236,38563,China,2020-01-31,260
Hyundai,Model D,Electric,338,200,72589,USA,2020-01-31,1294
BMW,Model B,Diesel,436,102,102307,Canada,2020-01-31,1351
Audi,Model D,Petrol,498,212,46954,UK,2020-01-31,1324
BMW,Model E,Petrol,275,73,94493,Germany,2020-01-31,1555
Ford,Model E,Hybrid,209,119,78423,Italy,2020-01-31,306
Hyundai,Model A,Hybrid,303,162,76805,Spain,2020-01-31,1061
Kia,Model B,Diesel,86,141,62689,UK,2020-01-31,563
BMW,Model A,Electric,322,165,30288,Japan,2020-01-31,1571
Honda,Model D,Electric,152,152,119374,Japan,2020-01-31,808
Volkswagen,Model B,Hybrid,378,97,114706,Brazil,2020-01-31,1496
Ford,Model A,Petrol,221,212,29552,Japan,2020-01-31,711
Toyota,Model E,Diesel,224,77,110426,USA,2020-01-31,388
Kia,Model D,Diesel,317,70,32245,Germany,2020-01-31,1842
Ford,Model D,Hybrid,101,130,65505,UK,2020-01-31,353
Volkswagen,Model B,Hybrid,468,131,31171,UK,2020-01-31,1458
Hyundai,Model B,Petrol,314,119,112197,China,2020-01-31,1616
Volkswagen,Model E,Electric,134,189,87025,China,2020-01-31,307
Mercedes,Model C,Hybrid,277,146,27415,Spain,2020-01-31,613
Volkswagen,Model B,Electric,280,75,82189,Canada,2020-01-31,939
Mercedes,Model C,Diesel,153,87,80199,Japan,2020-01-31,344
Hyundai,Model B,Hybrid,137,165,75291,China,2020-01-31,1482
Nissan,Model D,Petrol,257,203,35518,France,2020-01-31,901
Mercedes,Model C,Electric,458,209,97412,UK,2020-01-31,1716
Toyota,Model A,Electric,487,60,40743,Canada,2020-01-31,1445
Volkswagen,Model B,Diesel,162,91,76895,China,2020-01-31,272
Volkswagen,Model D,Electric,182,82,52215,Germany,2020-01-31,968
Toyota,Model A,Diesel,155,134,57822,China,2020-01-31,92
Honda,Model B,Electric,189,220,76499,France,2020-01-31,1892
Audi,Model B,Hybrid,79,201,74367,Germany,2020-01-31,1584
Nissan,Model C,Hybrid,125,83,63554,USA,2020-01-31,1803
Kia,Model C,Hybrid,147,83,63442,Canada,2020-01-31,1962
Mercedes,Model C,Electric,331,174,46499,Italy,2020-01-31,1417
Toyota,Model D,Diesel,474,172,68687,UK,2020-01-31,123
Hyundai,Model E,Hybrid,477,59,72150,Canada,2020-01-31,286
Mercedes,Model C,Diesel,351,90,43106,Japan,2020-01-31,809
Audi,Model A,Diesel,303,224,36237,France,2020-01-31,277
Hyundai,Model C,Hybrid,241,180,18291,France,2020-01-31,750
Ford,Model D,Hybrid,285,131,82606,France,2020-01-31,836
Volkswagen,Model A,Hybrid,236,208,39597,China,2020-01-31,1497
Ford,Model D,Petrol,405,183,96990,Spain,2020-01-31,106
Mercedes,Model C,Diesel,470,171,112557,Canada,2020-01-31,1546
